Year,Wins,Losses,Win %,Goals For (GF),Goals Against (GA),+ / -,Team Name
1990,32,33,,272,264,8,New Jersey Devils
1990,32,33,,272,264,8,New Jersey Devils
1990,32,33,,272,264,8,New Jersey Devils
1990,32,33,,272,264,8,New Jersey Devils
1990,32,33,,272,264,8,New Jersey Devils
1990,32,33,,272,264,8,New Jersey Devils
1990,32,33,,272,264,8,New Jersey Devils
1990,32,33,,272,264,8,New Jersey Devils
1990,32,33,,272,264,8,New Jersey Devils
1990,32,33,,272,264,8,New Jersey Devils
1990,31,30,,292,278,14,Buffalo Sabres
1990,31,30,,292,278,14,Buffalo Sabres
1990,31,30,,292,278,14,Buffalo Sabres
1990,31,30,,292,278,14,Buffalo Sabres
1990,31,30,,292,278,14,Buffalo Sabres
1990,31,30,,292,278,14,Buffalo Sabres
1990,31,30,,292,278,14,Buffalo Sabres
1990,31,30,,292,278,14,Buffalo Sabres
1990,31,30,,292,278,14,Buffalo Sabres
1990,31,30,,292,278,14,Buffalo Sabres
1991,36,29,,257,236,21,Chicago Blackhawks
1991,36,29,,257,236,21,Chicago Blackhawks
1991,36,29,,257,236,21,Chicago Blackhawks
1991,36,29,,257,236,21,Chicago Blackhawks
1991,36,29,,257,236,21,Chicago Blackhawks
1991,36,29,,257,236,21,Chicago Blackhawks
1991,36,29,,257,236,21,Chicago Blackhawks
1991,36,29,,257,236,21,Chicago Blackhawks
1991,36,29,,257,236,21,Chicago Blackhawks
1991,36,29,,257,236,21,Chicago Blackhawks
1990,39,30,,273,249,24,Montreal Canadiens
1990,39,30,,273,249,24,Montreal Canadiens
1990,39,30,,273,249,24,Montreal Canadiens
1990,39,30,,273,249,24,Montreal Canadiens
1990,39,30,,273,249,24,Montreal Canadiens
1990,39,30,,273,249,24,Montreal Canadiens
1990,39,30,,273,249,24,Montreal Canadiens
1990,39,30,,273,249,24,Montreal Canadiens
1990,39,30,,273,249,24,Montreal Canadiens
1990,39,30,,273,249,24,Montreal Canadiens
1990,36,31,,297,265,32,New York Rangers
1990,36,31,,297,265,32,New York Rangers
1990,36,31,,297,265,32,New York Rangers
1990,36,31,,297,265,32,New York Rangers
1990,36,31,,297,265,32,New York Rangers
1990,36,31,,297,265,32,New York Rangers
1990,36,31,,297,265,32,New York Rangers
1990,36,31,,297,265,32,New York Rangers
1990,36,31,,297,265,32,New York Rangers
1990,36,31,,297,265,32,New York Rangers
1990,44,24,,299,264,35,Boston Bruins
1990,44,24,,299,264,35,Boston Bruins
1990,44,24,,299,264,35,Boston Bruins
1990,44,24,,299,264,35,Boston Bruins
1990,44,24,,299,264,35,Boston Bruins
1990,44,24,,299,264,35,Boston Bruins
1990,44,24,,299,264,35,Boston Bruins
1990,44,24,,299,264,35,Boston Bruins
1990,44,24,,299,264,35,Boston Bruins
1990,44,24,,299,264,35,Boston Bruins
1990,47,22,,310,250,60,St. Louis Blues
1990,47,22,,310,250,60,St. Louis Blues
1990,47,22,,310,250,60,St. Louis Blues
1990,47,22,,310,250,60,St. Louis Blues
1990,47,22,,310,250,60,St. Louis Blues
1990,47,22,,310,250,60,St. Louis Blues
1990,47,22,,310,250,60,St. Louis Blues
1990,47,22,,310,250,60,St. Louis Blues
1990,47,22,,310,250,60,St. Louis Blues
1990,47,22,,310,250,60,St. Louis Blues
1990,49,23,,284,211,73,Chicago Blackhawks
1990,49,23,,284,211,73,Chicago Blackhawks
1990,49,23,,284,211,73,Chicago Blackhawks
1990,49,23,,284,211,73,Chicago Blackhawks
1990,49,23,,284,211,73,Chicago Blackhawks
1990,49,23,,284,211,73,Chicago Blackhawks
1990,49,23,,284,211,73,Chicago Blackhawks
1990,49,23,,284,211,73,Chicago Blackhawks
1990,49,23,,284,211,73,Chicago Blackhawks
1990,49,23,,284,211,73,Chicago Blackhawks
1990,46,26,,344,263,81,Calgary Flames
1990,46,26,,344,263,81,Calgary Flames
1990,46,26,,344,263,81,Calgary Flames
1990,46,26,,344,263,81,Calgary Flames
1990,46,26,,344,263,81,Calgary Flames
1990,46,26,,344,263,81,Calgary Flames
1990,46,26,,344,263,81,Calgary Flames
1990,46,26,,344,263,81,Calgary Flames
1990,46,26,,344,263,81,Calgary Flames
1990,46,26,,344,263,81,Calgary Flames
1990,46,24,,340,254,86,Los Angeles Kings
1990,46,24,,340,254,86,Los Angeles Kings
1990,46,24,,340,254,86,Los Angeles Kings
1990,46,24,,340,254,86,Los Angeles Kings
1990,46,24,,340,254,86,Los Angeles Kings
1990,46,24,,340,254,86,Los Angeles Kings
1990,46,24,,340,254,86,Los Angeles Kings
1990,46,24,,340,254,86,Los Angeles Kings
1990,46,24,,340,254,86,Los Angeles Kings
1990,46,24,,340,254,86,Los Angeles Kings
